gene,logfoldchange,pval,pval_adj
tp63.L,5.957579,1.0102814757109173e-144,3.1859226336543777e-140
lef1.L,5.0826783,1.3272378662488568e-137,2.0927223056078848e-133
mdk.L,33.687878,2.6079038267200734e-118,2.7413415725205836e-114
col14a1.L,11.446871,2.0616097351298877e-115,1.6253215749330252e-111
col14a1.S,12.473678,5.492005202992491e-107,2.9468821008787685e-103
egfl6.S,12.872749,5.606878898136234e-107,2.9468821008787685e-103
apoc1.like.L,395.0494,6.216835097740381e-102,2.8006842115320413e-98
cldn1.L,7.373313,1.0172766456129599e-101,4.009977377425586e-98
lum.L,71.74631,1.8906825401219176e-100,6.624741544749408e-97
frem2.L,6.972425,1.565847744551145e-98,4.937900862442036e-95
epcam.L,32.27686,2.9046587911027867e-98,8.327128634311489e-95
mdk.S,22.964935,1.1110657179559144e-97,2.919788117978313e-94
lama5.L,7.4035954,6.742080168826664e-97,1.6354730624919142e-93
s100a11.L,19.114166,4.953527895023202e-96,1.1157821583539761e-92
col1a1.L,108.83955,2.0868743719938337e-95,4.3873055547217034e-92
myh9.S,9.855607,6.335453440774845e-95,1.2486782765927168e-91
col1a1.S,126.52816,9.753028178331785e-94,1.809186727080546e-90
fras1.L,7.8858795,2.073858615147069e-91,3.633285079370157e-88
igfbp2.S,6.7263064,3.8080870173712576e-91,6.320422320673822e-88
kera.L,13.372105,8.405192999777138e-91,1.3252888062398602e-87
apoe.S,30.14917,1.2664174191313989e-89,1.9017368243956507e-86
lgals4.L,6.7696652,1.998178728520987e-89,2.8642075547231515e-86
itgb4.L,5.732995,2.031257835104574e-88,2.785031123044467e-85
plec.L,8.7577305,4.8907856026304716e-88,6.426288499122996e-85
sparc.L,15.306727,9.348399327954207e-88,1.1792070912281437e-84
cdh1.S,5.6360164,1.097081334126008e-86,1.3306330719870639e-83
lamb4.L,6.2505116,2.4054225141889688e-85,2.809444406849968e-82
col11a1.like.L,9.506928,2.675131028127067e-85,3.0128663204281094e-82
id3.S,27.748795,3.325301482563587e-85,3.6159786983669906e-82
loc100490088.L,9.458966,4.5858925349907035e-85,4.820537369697728e-82
sparc.S,24.512394,5.768484805181178e-85,5.868037688109305e-82
col1a2.L,62.375088,6.510384114477107e-85,6.415780095313612e-82
krt5.7.S,45.214523,9.317250927538538e-85,8.903621454543267e-82
bcam.L,5.4854956,2.901976449603112e-84,2.691583157006886e-81
azin2.S,19.662514,4.505143699925532e-84,4.0591344736329044e-81
dcn.L,11.688735,1.7352875466176764e-83,1.520063688405234e-80
loc100490088.S,10.929944,3.179431663080521e-83,2.7098210133849788e-80
anxa1.S,6.966929,8.609606130513175e-82,7.144840245414026e-79
pfn1.S,20.552958,1.7721357429936452e-81,1.4329307860334515e-78
Xelaev18010117m.g,8.040619,3.4605309844502325e-81,2.728196114865952e-78
col1a2.S,19.965963,5.256775820306254e-81,4.0432298900818956e-78
krt12.L,83.59965,1.4565706926583409e-80,1.0936418284043043e-77
epcam.S,20.569654,4.353825361212228e-80,3.1929740178099443e-77
myl6.S,13.689616,6.47797090998185e-80,4.6427911965063105e-77
Xelaev18045052m.g,52.975716,6.636799165127537e-80,4.650921370495486e-77
nccrp1.L,5.454736,7.683271963436434e-80,5.2672169862384336e-77
ahnak.L,7.091052,1.8152151817587375e-77,1.2179321437608891e-74
id3.L,23.978172,4.187903497072934e-77,2.7513653495873953e-74
loc100491788.S,5.1419363,6.969155542288769e-77,4.485149388287272e-74
pfn1.L,18.513863,1.333559718557146e-76,8.41076114493992e-74
cldn6.1.S,15.63046,4.533731214551812e-76,2.8033571343312037e-73
loc100488540.L,4.0559053,1.4552700954897988e-75,8.825373550244386e-73
loc100497018.L,5.0400853,3.636472882987951e-75,2.1637013653778306e-72
col5a3.like.L,19.057808,6.134572204975242e-75,3.5824765645165606e-72
cldn7.L,12.239333,8.61524243199753e-75,4.939666728964401e-72
tmsb4x.L,158.72498,5.232652976769812e-74,2.9466377075435004e-71
krt12.S,42.99338,3.0933096945756846e-73,1.7113600213762142e-70
ly6g6c.L,41.7625,4.914322959106891e-73,2.6719512847488934e-70
Xelaev18037442m.g,10.29859,9.821974644698474e-73,5.249762210518074e-70
cpz.S,4.262901,3.5847050135539455e-72,1.8840612100403946e-69
fgfbp2.L,15.877097,2.4654643459426075e-71,1.2745642319557399e-68
plk2.S,5.2271204,2.6828863415539587e-71,1.3645938835629694e-68
Xelaev18038148m.g,4.4048376,3.8526251499774945e-71,1.92845292229429e-68
col4a5.L,10.374847,2.101322969077344e-70,1.0353940598414693e-67
ifitm3.S,6.1643724,7.072125117724341e-70,3.431068701345186e-67
msx2.L,7.652631,1.4313971335756104e-69,6.83925887989498e-67
apoe.L,10.105288,2.28460236516974e-69,1.0752975460541457e-66
gjb3.L,4.277741,2.452372757105879e-69,1.1372878661078513e-66
loc100486548.L,8.404084,4.5073335050795593e-69,2.059982059169332e-66
loc100049121.S,35.03899,7.787156388584307e-69,3.50811395305723e-66
calm1.S,7.495373,2.4650280324485564e-68,1.0948543521586651e-65
Xelaev18047430m.g,41.181786,3.4111732383602353e-68,1.4940465009956947e-65
fermt1.S,4.042385,4.331041958010782e-68,1.8709507965187674e-65
p4hb.L,10.816168,9.830026312423492e-67,4.189052429219929e-64
Xelaev18017960m.g,4.929438,4.213764529609997e-66,1.77174752588335e-63
c2orf40.L,22.460703,5.486253467171619e-66,2.2764342511481185e-63
col5a3.like.S,9.431913,1.3170463913058352e-65,5.393903629847989e-63
mapk12.like.1.L,3.9340088,2.0354246061400602e-65,8.229117301875232e-63
lum.S,32.467537,5.516707494947532e-65,2.2021439348502585e-62
Xelaev18040838m.g,5.48615,7.603047078887834e-65,2.9970261204090978e-62
